photo_filename,logo,confidence,xsx,xrx,yup,ydw,town
charlotte_1019088214340003257_20150630.jpg,Nike,0.909957706928253,339,381,394,439,charlotte
charlotte_1024020172036248179_20150707.jpg,Starbucks,0.979206621646881,460,751,516,758,charlotte
charlotte_1024309877646020814_20150708.jpg,Hard Rock Cafe,0.97905158996582,0,267,205,364,charlotte
charlotte_1032782615297824087_20150719.jpg,Adidas,0.98023796081543,784,851,546,601,charlotte
charlotte_1037694107574660086_20150726.jpg,Emirates,0.983967542648315,60,304,765,875,charlotte
charlotte_1053854516720922304_20150817.jpg,NFL,0.989567279815674,491,547,510,566,charlotte
charlotte_1056018576661922536_20150820.jpg,Nike,0.98758852481842,497,574,0,30,charlotte
charlotte_1057610050380125945_20150823.jpg,Nike,0.970413088798523,353,473,406,477,charlotte
charlotte_1058168298761964443_20150823.jpg,Adidas,0.983242094516754,329,407,882,942,charlotte
charlotte_1058202095430042860_20150823.jpg,Puma,0.983264088630676,492,605,377,454,charlotte
charlotte_1058839237023789305_20150824.jpg,NFL,0.970991909503937,343,379,484,528,charlotte
charlotte_1061715143228072770_20150828.jpg,Nike,0.952343761920929,13,330,51,198,charlotte
charlotte_1063040439881370266_20150830.jpg,Pepsi,0.985592484474182,444,731,647,742,charlotte
charlotte_1063454720099487801_20150831.jpg,Under Armour,0.981743216514587,692,770,680,739,charlotte
charlotte_1064515557935778142_20150901.jpg,Under Armour,0.818074464797974,855,932,896,955,charlotte
charlotte_1066676820839855184_20150904.jpg,Puma,0.976786732673645,774,862,22,97,charlotte
charlotte_1071057614659499705_20150910.jpg,Coca-Cola,0.85951840877533,469,1080,222,775,charlotte
charlotte_1073203374603925768_20150913.jpg,NFL,0.935637891292572,304,347,122,164,charlotte
charlotte_1073225968626317727_20150913.jpg,Ralph Lauren Corporation,0.887748003005981,226,929,0,1061,charlotte
charlotte_1073311785720611045_20150913.jpg,NFL,0.95812338590622,302,412,311,345,charlotte
charlotte_1076129420129650890_20150917.jpg,Starbucks,0.995859622955322,473,597,576,709,charlotte
charlotte_1078248555783947459_20150920.jpg,NFL,0.980865001678467,275,352,343,415,charlotte
charlotte_1078579448420975108_20150921.jpg,Starbucks,0.987973153591156,547,707,598,769,charlotte
charlotte_1078701381592235087_20150921.jpg,Mercedes-Benz,0.973488688468933,439,511,472,543,charlotte
charlotte_1079288812627505717_20150922.jpg,NFL,0.996147871017456,235,348,316,456,charlotte
charlotte_1080007929317126439_20150923.jpg,Adidas,0.955292224884033,699,785,211,348,charlotte
charlotte_1081463278280976819_20150925.jpg,Nike,0.990114629268646,485,580,30,69,charlotte
charlotte_1082081051239374959_20150925.jpg,Nike,0.971073806285858,245,444,66,217,charlotte
charlotte_1082569616692563191_20150926.jpg,NFL,0.882040917873383,368,444,54,139,charlotte
charlotte_1083282886159196163_20150927.jpg,NFL,0.831626176834106,535,576,703,755,charlotte
charlotte_1083355360592427543_20150927.jpg,Nike,0.910863995552063,205,288,812,868,charlotte
charlotte_1083401334535179065_20150927.jpg,Nike,0.988660871982574,486,579,29,69,charlotte
charlotte_1083445742306552699_20150927.jpg,Under Armour,0.985338091850281,846,945,756,823,charlotte
