photo_filename,logo,confidence,xsx,xrx,yup,ydw,town
charlotte_1053798563516665358_20150817.jpg,Radio Programas del Perú,0.821678280830383,93,973,0,526,charlotte
charlotte_1082704794121865973_20150926.jpg,Ultimate Fighting Championship,0.991209030151367,336,430,103,147,charlotte
charlotte_1084392032404738637_20150929.jpg,Radio Programas del Perú,0.85224586725235,20,1070,143,1020,charlotte
charlotte_1106060855881747902_20151028.jpg,Radio Programas del Perú,0.90250551700592,291,661,14,472,charlotte
charlotte_1106940059913412368_20151030.jpg,New York Yankees,0.866926312446594,549,582,154,188,charlotte
charlotte_1134432469890738383_20151207.jpg,New England Patriots,0.988480448722839,216,279,995,1088,charlotte
charlotte_1136187760497348330_20151209.jpg,New York Yankees,0.945286393165588,184,265,231,322,charlotte
charlotte_1156655406345471071_20160106.jpg,Cambridge Analytica,0.863003253936768,362,429,1012,1075,charlotte
charlotte_1164630652120535343_20160117.jpg,New England Patriots,0.98353123664856,544,633,575,685,charlotte
charlotte_1166213962094861941_20160119.jpg,New England Patriots,0.977790594100952,362,519,872,959,charlotte
charlotte_1169758574115295856_20160124.jpg,New England Patriots,0.985119998455048,616,726,757,854,charlotte
charlotte_1169804871606644041_20160124.jpg,New England Patriots,0.963391542434692,643,724,693,776,charlotte
charlotte_1171936827338321861_20160127.jpg,New York Yankees,0.946749329566956,291,407,234,353,charlotte
charlotte_1193693357382083853_20160226.jpg,New York Yankees,0.965561866760254,253,348,370,483,charlotte
charlotte_1212900372842682526_20160324.jpg,YouTube,0.98924058675766,95,231,428,491,charlotte
charlotte_1227637444707652605_20160413.jpg,Los Angeles Lakers,0.899800419807434,237,338,7,73,charlotte
charlotte_1227933280779469534_20160414.jpg,Los Angeles Lakers,0.808656454086304,609,709,433,506,charlotte
charlotte_1228023223240710990_20160414.jpg,Golden State Warriors,0.987221360206604,320,504,312,528,charlotte
charlotte_1242224534559721790_20160503.jpg,YouTube,0.989453375339508,479,620,406,509,charlotte
charlotte_1248907776890183151_20160513.jpg,Radio Programas del Perú,0.929354548454285,7,422,27,536,charlotte
charlotte_1287059639062304388_20160704.jpg,Golden State Warriors,0.9957075715065,213,357,287,446,charlotte
charlotte_1288678449573036870_20160706.jpg,New York Yankees,0.917148530483246,374,535,3,204,charlotte
charlotte_1289225382393843779_20160707.jpg,New York Yankees,0.898246049880981,406,462,13,68,charlotte
charlotte_1334862161729851500_20160908.jpg,Cambridge Analytica,0.84648197889328,68,161,963,1061,charlotte
charlotte_1352400759610439471_20161002.jpg,New England Patriots,0.986607372760773,783,1067,864,1012,charlotte
